"COMUNE","AVC_dist","ELI","PGR","UIS","ELL","PDI","ER"
"Accadia",1.77487804178391,1.52042054573152,-0.6308137975195,0.873789207336098,-0.480597297496943,0.981885749654674,0.116800005598232
"Alberona",1.04347029306697,1.85366340506994,-0.571265084005123,-0.814437487592514,0.405752842877661,-0.234425667146559,-0.528523176324102
"Anzano di Puglia",2.28686346588577,-1.81200804765264,-7.59452619187425,-1.23649416132467,0.409017484278672,-0.578633523873982,-0.578163421087358
"Apricena",-0.41934520436691,0.187449108377859,-0.850500267646866,0.451732533603945,0.753437152085378,0.142879098881579,-0.990177452622387
"Ascoli Satriano",0.458344094093418,-0.812279469637389,-0.115261421958088,0.029675859871792,1.17947285491737,-0.629933733290089,0.511439951466122
"Biccari",0.750907193580194,0.520691967716275,0.136881779409096,0.662760870470022,-0.219425985416029,1.11261854139249,-0.0172286552625603
"Bovino",0.897188743323582,0.187449108377859,-0.955112872469421,0.451732533603945,-2.17821082602289,2.38850439493501,1.27093569634394
"Cagnano Varano",1.55545571716883,1.18717768639311,-2.05515464779583,-0.603409150726438,1.17131125141484,1.29465154254642,-1.53373813278004
"Candela",0.897188743323582,-0.812279469637389,0.179531533682907,-0.392380813860361,-0.270027927131705,-1.9935263964795,-0.493775004989823
"Carapelle",-0.199922879751828,-1.81200804765264,0.726735928139348,-1.23649416132467,2.34168519367744,-1.23229748256308,-1.74719118526205
"Carlantino",2.65256734024424,1.52042054573152,-3.22198754773971,-0.603409150726438,1.07010736798349,0.270302199689327,-2.22125552275115
"Carpino",2.06744114127069,0.853934827054691,-0.135110993129547,-0.814437487592514,1.81934256951561,-0.202983603310881,-1.01747958724218
"Casalnuovo Monterotaro",0.531484868965112,0.520691967716275,-1.46825111099647,0.240704196737869,-0.198205816309454,1.85895384612359,0.0423396384533479
"Casalvecchio di Puglia",0.385203319221724,0.853934827054691,-0.997494389294969,-0.603409150726438,1.08969521638956,0.654226347577606,-0.141329267170701
"Castelluccio dei Sauri",0.238921769478336,1.85366340506994,-0.206998629264021,-0.181352476994285,0.560823309425704,-1.40109171999672,0.136656103503536
"Castelluccio Valmaggiore",1.04347029306697,-0.145793750960557,0.0223443890008112,-0.814437487592514,0.568984912928233,-0.307238867608129,0.0944618954547674
"Castelnuovo della Daunia",0.458344094093418,-1.47876518831422,-1.26734126224751,0.029675859871792,-0.0725171223705134,0.801507593965783,0.0448216506915102
"Celenza Valfortore",2.36000424075746,0.187449108377859,-1.65601732478054,0.029675859871792,0.283328790339733,4.29985090705123,-1.70499697721328
"Celle di San Vito",1.99430036639899,-4.47795092235997,1.20983157246094,-1.44752249819074,1.68222763067313,1.9615542649558,-3.29844883411381
"Cerignola",-1.58959760231401,0.520691967716275,-0.6959954974474,-0.181352476994285,1.65447817876453,-1.42756924743729,-0.90578903652485
"Chieuti",1.04347029306697,1.52042054573152,-0.706724995377918,-1.02546582445859,1.09785681989208,0.649261811182499,-0.749422265520592
"Deliceto",1.04347029306697,0.520691967716275,-0.422125062770916,0.029675859871792,-0.309203623943843,-0.0573572023877407,0.945792093144615
"Faeto",1.99430036639899,0.187449108377859,0.625610410144212,0.451732533603945,0.898713694430387,-2.33111487134678,-1.38481739849027
"Foggia",-1.58959760231401,-0.812279469637389,0.279584101884991,0.451732533603945,-0.895206755425396,-0.274141958307417,0.015037503833557
"Ischitella",2.50628579050085,1.18717768639311,0.40082742849985,-0.181352476994285,1.47002593960739,0.275266736084434,-1.80179545450163
"Lesina",0.0926402197349483,1.18717768639311,0.865146451443036,0.451732533603945,0.386164994471592,-0.0507378205275969,-1.01996159948034
"Lucera",-0.273063654623522,0.853934827054691,-0.969597694675621,0.240704196737869,-0.350011641456486,-0.623314351429947,-0.704746045233661
"Manfredonia",0.970329518195276,0.187449108377859,-0.263864968295769,-0.603409150726438,0.0172605161573005,-0.179815766800381,-0.950465256811781
"Mattinata",1.48231494229713,-1.14552232897581,-0.753398311375674,-0.603409150726438,0.227829886522538,0.685668411413286,-2.42229851404233
"Monteleone di Puglia",2.28686346588577,1.52042054573152,-0.018427703135159,-0.392380813860361,0.240888452126583,-0.603456205849518,0.223526531839233
"Monte Sant'Angelo",2.36000424075746,-0.145793750960557,-1.31669695272789,-1.23649416132467,-0.322262189547888,0.965337295004318,-0.496257017227985
"Motta Montecorvino",0.6777664187085,-0.145793750960557,-0.0304983883069922,-0.181352476994285,-1.62975107065297,2.17337448448037,0.695108857090171
"Orsara di Puglia",1.04347029306697,0.853934827054691,-1.23515276845595,-1.44752249819074,0.144581530796747,0.56486469246568,-0.178559450743143
"Orta Nova",-0.126782104880134,0.853934827054691,-0.549537850695823,-0.814437487592514,1.25782424854165,-1.17106820035676,-0.602983543468986
"Panni",1.77487804178391,-1.14552232897581,0.870242962960033,-0.181352476994285,-0.168824043700351,0.872665948962319,1.67550369116448
"Peschici",3.82281973819134,-0.479036610298973,0.673624913383282,1.92893089166648,1.53531876762762,-1.13962613652108,-3.5665061558354
"Pietramontecorvino",0.750907193580194,0.853934827054691,-0.453777081665946,0.662760870470022,0.131522965192701,1.21356411475967,0.707518918280984
"Poggio Imperiale",0.0194994448632544,0.520691967716275,-0.83816134502677,-1.44752249819074,0.613057571841887,1.92845735565509,-1.99787442131649
"Rignano Garganico",0.897188743323582,1.52042054573152,-2.00660366966023,-1.65855083505682,0.839950149212181,0.943824303958852,-0.841256718332618
"Rocchetta Sant'Antonio",1.48231494229713,1.18717768639311,-0.890199409989784,-0.181352476994285,-0.673211140156617,-0.706056624681732,1.09719483967255
"Rodi Garganico",2.72570811511593,-2.47849376632947,-0.540417777454882,1.7179025548004,1.08479825428804,-0.489271868762056,-2.34783814689745
"Roseto Valfortore",2.14058191614238,1.52042054573152,-2.43310121239834,-0.814437487592514,2.11805725770816,1.99630601972155,-0.617875616897964
"San Giovanni Rotondo",1.33603339255375,0.187449108377859,-0.0546397586506588,-0.392380813860361,-1.65913284326207,-0.950973753507013,1.1468350844358
"San Marco in Lamis",0.31206254435003,1.18717768639311,-1.79255018594639,-1.65855083505682,-0.418569110877726,0.0766852802801507,-0.396976527701472
"San Marco la Catola",1.77487804178391,0.187449108377859,-1.06509022625724,-1.65855083505682,0.87096424252179,1.01001812256028,-1.67273081811716
"San Nicandro Garganico",0.824047968451888,0.520691967716275,-1.07555148673949,-1.23649416132467,0.547764743821658,1.85564415519352,-2.29323387765787
"San Paolo di Civitate",-0.41934520436691,0.520691967716275,-0.403080203944246,-1.23649416132467,1.68549227207414,-0.750737452237695,-1.350069227156
"San Severo",-1.58959760231401,0.520691967716275,-1.46530049906557,0.662760870470022,1.11091538549613,-0.386671449929842,-1.3227670925362
"Sant'Agata di Puglia",1.48231494229713,-0.479036610298973,-0.597552353934893,-1.23649416132467,-0.756459495882409,1.67361115403959,1.90881284155179
"Serracapriola",0.824047968451888,1.52042054573152,-0.150668765128799,-1.02546582445859,1.58102374724178,-0.226151439821381,-1.09193995438706
"Stornara",-0.346204429495216,-1.47876518831422,2.09957518834919,-1.44752249819074,2.77098553791044,-1.31503975581486,-0.732048179853452
"Stornarella",-0.126782104880134,0.187449108377859,0.600664327455756,-1.23649416132467,1.2153839103285,-0.866576634790194,-0.0470128021205136
"Torremaggiore",-0.492485979238604,0.853934827054691,0.0054454297602446,0.240704196737869,0.771392679790941,-0.530643005387948,-0.444134760226566
"Troia",0.0926402197349483,1.18717768639311,-0.639397395863915,0.240704196737869,-1.41428473818621,0.358009009336219,0.379893302843492
"Vico del Gargano",2.87198966485932,0.187449108377859,-0.39530131794462,0.873789207336098,1.1321355546027,0.111437035045899,-2.21380948603666
"Vieste",5.06621291101014,-1.81200804765264,0.0628482436885184,1.92893089166648,0.608160609740369,-1.39447233813658,-2.85913266795899
"Volturara Appula",1.33603339255375,1.52042054573152,0.531995540700438,-0.181352476994285,-0.224322947517545,2.81214483398415,-2.02517655593628
"Volturino",0.750907193580194,0.520691967716275,-0.103458974234518,-0.814437487592514,-0.229219909619062,2.27762974877762,0.697590869328333
"Ordona",0.165780994606642,-0.145793750960557,1.05774093929584,-1.44752249819074,2.03807354338338,-0.451210423066234,0.0423396384533479
"Zapponeta",0.385203319221724,0.520691967716275,-0.746424137720837,-1.8695791719229,2.96849634267164,-1.66255730347236,-1.96560826222038
"Acquaviva delle Fonti",-0.41934520436691,-1.14552232897581,0.072504791825985,1.08481754420218,-1.60036929804387,-0.196364221450739,1.03762654595664
"Adelfia",-0.638767528981992,-0.145793750960557,0.0620435313437295,-0.603409150726438,-0.676475781557629,-1.09494530896512,0.57100824518203
"Alberobello",-0.273063654623522,-1.14552232897581,0.149757176925718,2.13995922853256,-1.03721865636939,0.262027972364149,2.45237352170945
"Altamura",-1.58959760231401,-0.479036610298973,0.203941141474836,1.50687421793433,-0.00395965294927424,-1.25546531907358,1.08974880295806
"Bari",-1.58959760231401,-1.81200804765264,1.41717911996821,1.50687421793433,-1.24125874393261,-0.0954186480835622,1.33050399005985
"Binetto",-1.15075295308385,-1.14552232897581,-0.107750773406725,-0.603409150726438,-1.17923055731339,-1.04033540861894,0.248346654220862
"Bitetto",-1.00447140334046,-0.145793750960557,0.411020451533843,-1.23649416132467,-1.31961013755688,-0.902983235020979,1.76733814397651
"Bitonto",-1.58959760231401,0.520691967716275,-0.800608102269955,0.240704196737869,0.291490393842261,-1.32000429220997,-0.0966530468837707
"Bitritto",-0.346204429495216,0.187449108377859,1.21465984652968,0.240704196737869,-1.52201790441959,-1.83466123183607,1.81946040097793
"Capurso",-1.58959760231401,-1.47876518831422,0.510536544839401,0.662760870470022,-0.304306661842325,-0.580288369339019,0.995432337907871
"Casamassima",-0.711908303853686,-0.479036610298973,0.797818851929033,0.662760870470022,-0.544257804816666,-1.4788694568534,0.987986301193384
"Cassano delle Murge",-0.126782104880134,0.187449108377859,2.33428295557928,-0.603409150726438,-0.828281606704661,-1.16941335489172,0.628094526659774
"Castellana Grotte",-0.492485979238604,-0.812279469637389,1.12748267584421,1.7179025548004,-0.890309793323878,-0.901328389555942,2.17935217551154
"Cellamare",-1.00447140334046,-0.812279469637389,-0.459946542975994,-1.65855083505682,-0.286351134136763,-2.63229674598328,1.43474850406269
"Conversano",-1.58959760231401,-1.14552232897581,1.15403818322225,1.29584588106825,-1.18739216081592,-0.717640542936981,1.56381314044716
"Corato",-0.346204429495216,-1.14552232897581,0.474056251875639,0.662760870470022,-0.24554311662412,-1.11149376361547,0.208634458410257
"Gioia del Colle",-1.58959760231401,-0.479036610298973,0.301579572642554,0.662760870470022,-0.888677472623372,0.260373126899112,1.16172715786478
"Giovinazzo",-0.711908303853686,-0.479036610298973,0.0121513659668186,-0.814437487592514,-1.8958193448354,-0.0573572023877407,1.2337055127715
"Gravina in Puglia",-0.126782104880134,-0.812279469637389,-0.350505664084705,0.662760870470022,-0.173721005801869,-1.16775850942669,0.563562208467541
"Grumo Appula",-0.858189853597074,-1.14552232897581,-0.534516553593097,-1.44752249819074,0.358415542562995,-1.32000429220997,-0.392012503225146
"Locorotondo",-1.00447140334046,-0.812279469637389,1.13231094991295,1.92893089166648,0.156007775700287,-0.32213247679345,1.66557564221183
