Frequenza,Territorio,Indicatore,Sesso,Classe di età,Anno,Osservazione,Stato dell’osservazione,Nota - Territorio,Nota - Indicatore,Nota - Sesso,Nota - Classi di età,Nota - Dataset
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,'65,846',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,'77,844',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,'89,246',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,'96,782',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,'101,178',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,'99,982',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,'106,764',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,'111,179',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,'127,897',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,'151,051',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,'154,952',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,'160,646',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,'142,823',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,'128,108',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,'120,440',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,'100,107',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,'80,366',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,'54,289',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,'26,258',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,'6,877',,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,911,,,,,,
Annuale,Puglia,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'2,003,546',,,,,,
