FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,MARITAL_STATUS,Stato civile,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y0,0 anni,99,Totale,2024,8,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y1,1 anni,99,Totale,2024,3,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y2,2 anni,99,Totale,2024,7,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y3,3 anni,99,Totale,2024,11,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y4,4 anni,99,Totale,2024,8,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y5,5 anni,99,Totale,2024,10,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y6,6 anni,99,Totale,2024,7,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y7,7 anni,99,Totale,2024,11,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y8,8 anni,99,Totale,2024,5,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y9,9 anni,99,Totale,2024,7,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y10,10 anni,99,Totale,2024,11,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y11,11 anni,99,Totale,2024,11,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y12,12 anni,99,Totale,2024,7,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y13,13 anni,99,Totale,2024,6,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y14,14 anni,99,Totale,2024,13,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y15,15 anni,99,Totale,2024,8,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y16,16 anni,99,Totale,2024,9,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y17,17 anni,99,Totale,2024,8,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y18,18 anni,99,Totale,2024,11,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y19,19 anni,99,Totale,2024,7,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y20,20 anni,99,Totale,2024,10,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y21,21 anni,99,Totale,2024,12,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y22,22 anni,99,Totale,2024,8,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y23,23 anni,99,Totale,2024,8,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y24,24 anni,99,Totale,2024,8,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y25,25 anni,99,Totale,2024,17,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y26,26 anni,99,Totale,2024,8,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y27,27 anni,99,Totale,2024,11,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y28,28 anni,99,Totale,2024,16,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y29,29 anni,99,Totale,2024,9,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y30,30 anni,99,Totale,2024,10,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y31,31 anni,99,Totale,2024,12,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y32,32 anni,99,Totale,2024,8,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y33,33 anni,99,Totale,2024,17,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y34,34 anni,99,Totale,2024,6,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y35,35 anni,99,Totale,2024,12,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y36,36 anni,99,Totale,2024,16,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y37,37 anni,99,Totale,2024,14,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y38,38 anni,99,Totale,2024,15,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y39,39 anni,99,Totale,2024,8,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y40,40 anni,99,Totale,2024,14,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y41,41 anni,99,Totale,2024,15,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y42,42 anni,99,Totale,2024,6,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y43,43 anni,99,Totale,2024,10,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y44,44 anni,99,Totale,2024,10,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y45,45 anni,99,Totale,2024,17,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y46,46 anni,99,Totale,2024,21,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y47,47 anni,99,Totale,2024,16,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y48,48 anni,99,Totale,2024,18,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y49,49 anni,99,Totale,2024,16,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y50,50 anni,99,Totale,2024,13,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y51,51 anni,99,Totale,2024,15,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y52,52 anni,99,Totale,2024,15,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y53,53 anni,99,Totale,2024,12,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y54,54 anni,99,Totale,2024,13,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y55,55 anni,99,Totale,2024,19,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y56,56 anni,99,Totale,2024,20,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y57,57 anni,99,Totale,2024,15,,
A,Annuale,071001,Accadia,JAN,Popolazione al 1º gennaio,2,Femmine,Y58,58 anni,99,Totale,2024,22,,
